# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
해상,Busan,북미,New York,2019,01,2640.0,3300.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,12,2560.0,3200.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,11,2960.0,3700.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,10,2680.0,3350.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,09,2840.0,3550.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,08,2520.0,3150.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,07,2120.0,2650.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,06,2000.0,2500.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,05,2080.0,2600.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,04,1920.0,2400.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,03,1880.0,2350.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,02,2400.0,3000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2018,01,2400.0,3000.0,USD,,,,,2026-05-24
해상,Busan,북미,New York,2017,12,1680.0,2100.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2026,05,2400.0,2900.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2026,04,2900.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2026,03,2300.0,2860.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2026,02,1450.0,1850.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2026,01,2500.0,3100.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,12,1600.0,2000.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,11,2300.0,3300.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,10,1300.0,1600.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,09,2000.0,2400.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,08,1600.0,1900.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,07,2200.0,2700.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,06,5200.0,6500.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,05,1800.0,2200.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,04,2200.0,2800.0,USD,,,,,2026-05-24
해상,Busan,북미,Long Beach,2025,03,2350.0,3300.0,USD,,,,,2026-05-24
