# [해상] 출처: 한국무역협회(KITA) | 시장 평균 해상운임(Ocean Freight), 부산발 | 부대비용 별도 / 이용 선사·물동량·결제조건에 따라 상이 | 운임 업로드: 매월 첫째 주 | 단위: USD
# [항공] 출처: 한국무역협회(KITA) | 시장 평균 항공운임(Air Freight), 부산발 | 부대비용 별도 / 이용 항공사·물동량·결제조건에 따라 상이 | 공시 운임 구성: 기본 항공운임 + 유류할증료 + 터미널 화물처리비용 | 운임 업로드: 매월 첫째 주 | 단위: USD
분류,출발(도시),도착(국가),도착(도시),년,월,TEU,FEU,단위(USD-해상),100kg,300kg,500kg,단위(USD-항공),업데이트 일자
항공,Incheon,북미,Dallas,2023,12,,,,,10750.0,10100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2023,11,,,,11800.0,10800.0,10800.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2020,10,,,,18000.0,18000.0,18000.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2020,09,,,,8000.0,8000.0,8000.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2020,03,,,,0.0,0.0,0.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2020,02,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2020,01,,,,4800.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,12,,,,5000.0,4900.0,4800.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,11,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,10,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,09,,,,4300.0,4200.0,4100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,08,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,07,,,,4100.0,4000.0,3900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,06,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,05,,,,4400.0,4300.0,4200.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,04,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,03,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,02,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2019,01,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,12,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,11,,,,5600.0,5500.0,5400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,10,,,,5400.0,5300.0,5200.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,09,,,,5400.0,5300.0,5200.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,08,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,07,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,06,,,,4600.0,4500.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,05,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,04,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,03,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,02,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2018,01,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,12,,,,6100.0,6000.0,5900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,11,,,,5700.0,5600.0,5500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,10,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,09,,,,5300.0,5200.0,5100.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,08,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,07,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,06,,,,5000.0,4900.0,4800.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,05,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,04,,,,5400.0,5300.0,5200.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,03,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,02,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2017,01,,,,5000.0,4900.0,4800.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,12,,,,5700.0,5600.0,5500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,11,,,,5700.0,5600.0,5500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,10,,,,5600.0,5500.0,5400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,09,,,,5400.0,5300.0,5200.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,08,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,07,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,06,,,,4700.0,4600.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,05,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,04,,,,4700.0,4600.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,03,,,,4800.0,4450.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,02,,,,4500.0,4400.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2016,01,,,,4700.0,4400.0,4400.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,12,,,,5100.0,5000.0,4900.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,11,,,,4900.0,4800.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,10,,,,4900.0,4600.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,09,,,,5000.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,08,,,,3900.0,3800.0,3700.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,07,,,,4800.0,4500.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,06,,,,4800.0,4500.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,05,,,,4800.0,4500.0,4500.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,04,,,,4500.0,4300.0,4300.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,03,,,,4800.0,4700.0,4600.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,02,,,,5200.0,5100.0,5000.0,USD,2026-05-24
항공,Incheon,북미,Dallas,2015,01,,,,4900.0,4700.0,4700.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2026,05,,,,10803.3,10803.3,10803.3,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2026,04,,,,9476.7,9496.7,9490.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2026,03,,,,7430.0,7490.0,7470.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2026,02,,,,7620.0,7520.0,7420.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2026,01,,,,7747.5,7747.5,7747.5,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,12,,,,7290.0,7290.0,7290.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,11,,,,7110.0,7100.0,7090.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,10,,,,7180.0,7120.0,7060.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,09,,,,7230.0,7200.0,7150.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,08,,,,6980.0,6970.0,6950.0,USD,2026-05-24
항공,Incheon,북미,Los Angeles,2025,07,,,,7040.0,7040.0,7040.0,USD,2026-05-24
